"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL412123";"";"None";"347.35";"0";"2.73";"19";"N[C@H](Cc1ccccc1)P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL400527";"";"None";"345.46";"0";"3.30";"1f";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1cccc2ccccc12)C(=O)O";"Ki";"'='";"2.2";"nM";"8.66";"";"";"UO_0000065";"25.06";"0.49";"5.36";"13.04";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL257270";"";"None";"371.50";"0";"3.95";"1g";"CCCC[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O";"Ki";"'='";"1.8";"nM";"8.74";"";"";"UO_0000065";"23.54";"0.46";"4.79";"13.17";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL258333";"";"None";"315.39";"0";"2.40";"1c";"O=C(CS)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O";"Ki";"'='";"320.0";"nM";"6.50";"";"";"UO_0000065";"20.59";"0.40";"4.09";"9.78";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL163454";"";"None";"405.52";"0";"4.01";"1b";"O=C(N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O)[C@H](S)Cc1ccccc1";"Ki";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"14.44";"0.28";"1.84";"8.82";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL263663";"";"None";"468.44";"0";"1.52";"30";"CC(=O)N[C@@H](CCC(=O)O)C(=O)N1CCC[C@@H]1P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"17.41";"0.35";"6.63";"5.06";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL414173";"";"None";"1550.86";"None";"None";"apelin-13";"CSCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O";"Kcat/Km";"'='";"2.0";"10^6/M/s";"";"";"";"";"";"";"";"";"0";"CHEMBL929269";"Ratio of Kcat to Km for ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL4464521";"";"None";"267.16";"None";"None";"MS13";"C[C@H](CS)C(=O)N[C@H](Cc1ccccc1)B(O)O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL3235416";"";"None";"401.47";"0";"0.20";"5, BDM43079";"CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CN(CCCc1ccccc1)CC(=O)O";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3243749";"Inhibition of human recombinant ACE2-mediated amyloid beta hydrolysis using Mca-Tyr-Val-Ala-Asp-Pro-Ala-Lys-(DNP)-OH as substrate after 20 mins by fluorimetry assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232818";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";"";""
"CHEMBL261121";"";"None";"519.54";"1";"3.35";"40-FII";"CC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@@H]1P(=O)(O)CC(Cc1cc(-c2ccccc2)no1)C(=O)O";"Ki";"'='";"1.25";"nM";"8.90";"";"";"UO_0000065";"17.14";"0.34";"5.55";"5.93";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL405232";"";"None";"313.33";"0";"2.53";"20";"CC(C)C[C@@H](N)P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL4545274";"";"None";"285.15";"None";"None";"MS15";"C[C@H](CS)C(=O)N[C@H](Cc1ccc(F)cc1)B(O)O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL4453017";"";"None";"271.12";"None";"None";"MS22";"C[C@H](CS)C(=O)N[C@H](B(O)O)c1ccc(F)cc1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL251808";"";"None";"437.51";"0";"4.00";"1r";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)c(F)c2)cc1)C(=O)O";"Ki";"'='";"0.85";"nM";"9.07";"";"";"UO_0000065";"20.73";"0.41";"5.07";"11.99";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL401086";"";"None";"205.28";"0";"0.53";"1b";"CC[C@@H](C)[C@H](S)C(=O)NCC(=O)O";"Ki";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"34.32";"0.74";"6.52";"10.61";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL258698";"";"None";"486.51";"0";"2.90";"32";"CC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@@H]1P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'='";"5.2";"nM";"8.28";"";"";"UO_0000065";"17.03";"0.33";"5.38";"6.68";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL260677";"";"None";"431.43";"0";"3.96";"12";"O=C(O)[C@H](Cc1ccccc1)CP(=O)(O)[C@H]1CCCN1C(=O)OCc1ccccc1";"Ki";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"15.12";"0.30";"2.56";"6.26";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL4081997";"";"None";"456.59";"0";"2.45";"10d";"NCCNS(=O)(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)cc2)cc1";"Inhibition";"'='";"1.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4017414";"Inhibition of ACE2 (unknown origin) at 1 uM relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4014357";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";""
"CHEMBL429844";"ORE-1001";"1.0";"428.32";"0";"3.32";"MLN-4760";"CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O";"IC50";"'='";"0.44";"nM";"9.36";"";"";"UO_0000065";"21.84";"0.46";"6.04";"8.96";"0";"CHEMBL928323";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL429844";"ORE-1001";"1.0";"428.32";"0";"3.32";"13; MLN-4760";"CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O";"IC50";"'='";"0.44";"nM";"9.36";"";"";"UO_0000065";"21.84";"0.46";"6.04";"8.96";"1";"CHEMBL4358374";"Inhibition of ACE2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4354850";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";""
"CHEMBL252391";"";"None";"371.50";"0";"3.81";"1a";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O";"Ki";"'='";"1.5";"nM";"8.82";"";"";"UO_0000065";"23.75";"0.46";"5.01";"13.29";"1";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL252003";"";"None";"387.50";"0";"3.94";"1k";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1cccc(Oc2ccccc2)c1)C(=O)O";"Ki";"'='";"5.8";"nM";"8.24";"";"";"UO_0000065";"21.26";"0.42";"4.30";"10.89";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL436639";"";"None";"3031.34";"None";"None";"DX-600";"CC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)CNC(=O)CN)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CO)C(=O)N1";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"2.64";"None";"None";"None";"0";"CHEMBL928323";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL4871893";"";"None";"715.85";"3";"0.11";"1";"CCCCCCCCCCCC(=O)N[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C=O)NC1=O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4840871";"Inhibition of ACE2 (unknown origin) upto 100 ug/ml incubated for 15 mins followed by substrate addition by fluorescence based analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4840317";"1";"Scientific Literature";"J Nat Prod";"2021";"None";"Dose: <=100 | TIME = 0.25 hr";"";""
"CHEMBL5284556";"";"None";"295.35";"0";"1.14";"11a";"N[C@@H](Cc1c[nH]cn1)C(=O)NCc1cccc2cccnc12";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL5237354";"Inhibition of recombinant human ACE2 catalytic activity at 300 uM using Mca-Ala-Pro-Lys-(Dnp)-OH as substrate";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5236554";"1";"Scientific Literature";"J Med Chem";"2021";"None";"DOSE = 300.0 microM";"INHIBITOR";""
